"","distribuzione","locandina","logo","successo","tra","ann","paes","gene","atto","dur","musich","v.ita","p.ita","v.mon","p.mon","minimo","totale"
"1","01 Distribution","<img src=https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTiI-wbDUBH2OQ6ViuKFUj8fkOom5nASGRkTkU5xF7HvYYCe8-ktOKY_Dc align=left >","<img src=https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS0VebAh5vGA5rMmq8bvXB4imphc4QTWhMvaWPHDn_BjJ-SRw1d2TLT2w align=left >","Il Pianista "," L'Olocausto attraverso gli occhi del pianista Wladyslaw Szpilman, già dipinto nell'omonimo romanzo autobiografico. Nella tranquilla saletta di registrazione della radio dove lavora, Szpilman (Adrien Brody) sta eseguendo il Notturno in Do diesis minore di Chopin, quando una serie di violente esplosioni distruggono la facciata del palazzo, annunciando l'inizio della seconda guerra mondiale e l'invasione della Polonia. Nei giorni successivi Varsavia viene occupata e sulla famiglia Szpilman, come sul resto della comunità ebraica, si abbatte il flagello nazista. La fame e la miseria in cui versano, le angherie e le umiliazioni subite non piegano lo spirito di Wladyslaw e dei suoi cari che, seppure esiliati nel ghetto di Varsavia, lottano per restare uniti. Persino sui vagoni spogli diretti ai campi di sterminio. Solo il pianista viene separato dal nucleo e comincia a vagare solo per la città, elemosinando cibo e rifugio. Finché un ufficiale tedesco (Thomas Kretschmann), colpito dallo straordinario talento musicale del giovane, non decide di proteggerlo e nasconderlo fino alla liberazione della città.","2002","Francia, Polonia, Germania, Gran Bretagna","Drammatico","Adrien Brody, Thomas Kretschmann, Frank Finlay, Maureen Lipman, Ed Stoppard, Julia Rayner, Jessica Kate Meyer, Emilia Fox, Ruth Platt, Valentine Pelka, Ronan Vibert"," 148 Min","Wojciech Kilar","7.97","96","8.5","616338",1997,480
"2","20th Century Fox","<img src=https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSt9yce803gm-b0uGVgHyOcpFfHt0ZyWu2UpeIhJufUq92ggZdH16UB0A align=left >","<img src=https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQcTCftNwIpBs8L1_3yvzq7YQP266Gtwa4eqHFvX0rAzW5E4bHm9--49w align=left >","L'Impero colpisce ancora "," La Principessa Leila, ha trovato un poco ospitale rifugio su Hoth, pianeta di ghiaccio. Le stanno accanto, fedelissimi e innamorati, il cavaliere Jedi Luke Skywalker, il valoroso Ian Solo, il gigantesco Chewbecca, e i robot C3PO e R2-D2. Raggiunti dai feroci soldati del nero e spietato Dart Fener, la principessa, Chewbecca e i robot vengono messi in salvo da Ian Solo che è riuscito a mettere in sesto il vecchio ma velocissimo ""Millennium Falcon"". Nel frattempo Luke - invitato dallo spirito consigliere di Ben Obi Wan Kenobi - si reca da Yoda, un misterioso gnomo, già educatore del padre e ora destinato a far maturare il rampollo. Han Solo, non sapendo dove mettere al sicuro Leila, si dirige verso la miniera spaziale di Lando Carlissian, già suo amico. Ma, essendo stati preceduti da Dart Fener, essi cadono nelle sue mani. Ian Solo, ibernato, viene consegnato ad un cacciatore di taglie che dovrebbe portarlo al suo creditore Jabba the Hutt. Ma Lando, che è stato costretto al tradimento, si affianca alla principessa e la soccorre mentre il sopraggiunto Luke ingaggia un terribile duello con Dart Fener...","1980","USA","Fantascienza","Mark Hamill, Harrison Ford, Alec Guinness, Carrie Fisher, Billy Dee Williams, Des Webb, Peter Mayhew, David Prowse, Clive Revill, Jack Purvis, Michael Sheard, Kenny Baker, Bruce Boa, Jeremy Bulloch, Michael Culver, Kenneth Colley, Anthony Daniels, Julian Glover, John Hollis"," 125 Min","John Williams","8.3","57","8.8","1017963",1930,1849
"3","BIM","<img src=https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTGA-QGIt8Hz8exMxm7ablSqC5StXX59fU5Bf8gEaI6oF1FBWFxJwOWtsQ align=left >","<img src=https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTzqvWyq6RdqPhrWvKgU9-SingnpkuUS51p4T51mTPmBc4i9i1qIZZUow align=left >","Il favoloso mondo di Amélie "," Amélie vive a Parigi ma in un mondo tutto suo. Traumatizzata dalla morte improvvisa di sua madre e dalla conseguente freddezza di suo padre, ora subisce il fascino delle piccole cose: fare una torta, tuffare la mano in un barile di riso, immaginare quanti orgasmi si stiano verificando in città nello stesso momento. Prende in affitto un appartamento a Montmartre. Si occupa del gatto della sua amica hostess Philomène quando lei è via per un volo e, pur sentendosi colpevole, spia il vicino Dufayel, un uomo con le ossa fragili. Lavora in un caffé chiamato ""Les Deux Moulins"" dove la sua capa Suzanne sogna la sua vita passata nel circo, e la sua collega Gina respinge seccamente le attenzioni dell'ex fidanzato geloso Joseph. La vita di Amélie è abbastanza felice, ma le va stretta. Un giorno, Amélie scopre una vecchia scatola di tesori d'infanzia nel suo appartamento. Presa dall'eccitazione, decide che la sua missione sarà ritrovare il proprietario. ","2001","Francia","Commedia","Audrey Tautou, Mathieu Kassovitz, Rufus, Yolande Moreau, Artus de Penguern, Urbain Cancelier, Dominique Pinon, Claude Perron, Maurice Bénichou, Isabelle Nanty, Clothilde Mollet, Claire Maurier, Jamel Debbouze"," 120 Min","Yann Tiersen","8.02","65","8.3","634257",1940,402
"4","Buena Vista","<img src=https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRWuLkgLslBIVTR2xAKhpSpcqKod4GEw_BMjXMczXfAbzO7ywKo6EY60g align=left >","<img src=https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQv7Agc6n6d9jaoOM-KDcPSRGtAhQWrTrhFFff0VIFEDx3-SXHUgjze52w align=left >","Toy Story - Il mondo dei giocattoli "," Il film inizia con una riunione dei giocattoli, alla fine della quale si genera il caos perché viene annunciato che quel giorno è il compleanno di Andy. Tutti i giocattoli hanno paura di esser sostituiti, tranne Woody, il preferito. Per calmare gli altri, Woody decide di mandare un piccolo gruppo di soldatini a vedere che regali vengono consegnati ad Andy, e trovano solo una scatola, della quale non riescono a capire cosa sia il contenuto.","1995","USA","Animazione","NA, NA"," 77 Min","Randy Newman","8.52","65","8.3","762990",1950,368
"5","Columbia Pictures","<img src=https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ59c2xnwaWlNJOxftG9GfyAcL-zvq7IWmqdwZ2tFf4SkW0zm1oebWbEmg align=left >","<img src=https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_D15TZeIraf4HjXPmIDnndl3oHKbt-cCkups58TcPZOBj7af8HKg4DkM align=left >","Snatch - Lo strappo "," Durante il suo viaggio a New York per consegnare un gigantesco diamante al boss mafioso Avi, il ladro e corriere di preziosi Frank ""Quattrodita"" passa per Londra per piazzare pietre più piccole presso il cugino del suo capo Doug ""La Zucca"". Fa una puntata su un incontro di boxe illegale e si trova in un bel pasticcio... Tranelli, doppi giochi, imboscate, si susseguono in un clima un po' drammatico e molto farsesco.","2000","Gran Bretagna","Thriller","Benicio Del Toro, Dennis Farina, Vinnie Jones, Brad Pitt, Rade Sherbedgia, Lennie James, Robbie Gee, Jason Statham, Mike Reid, Alan Ford, Ewen Bremner, Jason Flemyng, Ade, Stephen Graham"," 104 Min","John Murphy (II","7.46","42","8.3","700527",1932,171
"6","Eagle Pictures","<img src=https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRkvoq3PJZvw3HVyAMdgNuej-u9_dAgjV40x5evEU02j1CTzp7m9VFPzgo align=left >","<img src=https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR_GQ9pF5iHOM6kphscKuCWItgJFiZmmdHAD02EK3N1h-kBZSfKnqBNnis align=left >","Se mi lasci ti cancello "," Joel è allibito quando scopre che la sua fidanzata Clementine si è sottoposta ad un procedimento per cancellare il loro rapporto tumultuoso dalla sua memoria. Disperato, si rivolge all'inventore di tale procedimento, il Dr. Howard Mierzwiak per farsi cancellare Clementine dalla propria memoria. I ricordi di Joel svaniscono progressivamente, ma durante il processo Joel riscopre il suo amore per Clementine. Dal profondo dei recessi della sua mente, Joel lotta per sfuggire al procedimento. Il Dr. Mierzwiak e la sua èquipe si lanciano al suo inseguimento attraverso il labirinto dei suoi ricordi, ma diventa presto evidente che Joel non riesce proprio a togliersi Clementine dalla testa...","2004","USA","Commedia","Jim Carrey, Kate Winslet, Kirsten Dunst, Tom Wilkinson, Elijah Wood, Mark Ruffalo, David Cross, Thomas J. Ryan, Jane Adams (II, Ryan Whitney, Debbon Ayer, Lola Daehler, Deirdre O'Connell, Amir Ali Said, Brian Price, Paul Litowsky, Josh Flitter, Gerry Robert Byrne"," 108 Min","Jon Brion","7.9","121","8.3","799042",1941,557
"7","Lucasfilm ltd.","<img src=https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR0FC_dFfVg_2IdyG24jJFIYw0YJ9c4mccE4OoPcIy94AR3R96oL1Knmg align=left >","<img src=https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTD6t5K-FPk6dSvpazCDdCY9yY6v5vbdJqrZlr32uwjhkeobgdSn4cjHyo align=left >","Ai nostri amori "," Suzanne, adolescente di quindici anni, vive in famiglia mentre segue gli studi con disordinato interesse. Preferisce, in maniera spontanea ma ugualmente confusa, intrecciare rapporti sentimental/sessuali con i suoi coetanei, facendosene quasi riparo contro il pesante clima familiare. Proprio la famiglia infatti la mette in difficoltà. Il padre e la madre sono in lite continua e il fratello inutilmente cerca di smussare i dissidi. Un giorno il padre, dopo un serrato colloquio con la figlia, decide di andarsene. La madre, rimasta sola, sfoga la sua rabbia contro Suzanne, che trova un nemico anche nel fratello, manesco e isterico. Così la ragazza continua a coltivare i suoi amori, con uno dei quali, tra la sorpresa generale, arriva a sposarsi. Ma il matrimonio ha breve durata. Una sera il padre torna a casa, usa parole pesanti contro l'intera famiglia provocando ulteriori, esagitate reazioni. Suzanne infine prende una decisione: lasciato il marito, parte per gli Stati Uniti in compagnia di un altro ragazzo. Il padre l'accompagna all'aeroporto, ma non per consolarla.","1983","Francia","Drammatico","Sandrine Bonnaire, Evelyn Ker, Dominique Besnehard, Cyr Boitard, Cyril Collard, Maurice Pialat, Anne-Sophie Maillé, Christophe Odent, Pierre-Loup Rajot, Maïté Maillé"," 102 Min","Klaus Nomy","7.38","1","7.4","4532",1983,11
"8","Lucky Red","<img src=https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSzEVHzGogmcgQt51xAWGHpHXeqQKyWGFAclQKsreb5msQiP15MjFRAT04 align=left >","<img src=https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT8dbjMvJIO07pCm-xj-6UkvmELSlFyW6cqlLbIt06Nqta50ekWtOZ5Zis align=left >","I soliti sospetti "," In California, una nave esplode sul molo di San Pedro: un noto criminale. Dean Keaton, viene ucciso nella stiva da un ignoto dove ha appiccato il fuoco mentre l'equipaggio è stato sterminato. L'unico sopravvissuto alla strage, un delinquente di mezza tacca, lo storpio Verbal Kint, viene interrogato da David Kujan, poliziotto doganale. Verbal rivela che sei settimane prima si era trovato inspiegabilmente in un confronto all'americana con quattro noti criminali: Dean Keaton, ex poliziotto corrotto; il violento McManus col socio di rapine Fenster; lo specialista in esplosivi Todd Hockney. Dall'incontro era nata l'idea di tendere una trappola ad un gruppo di poliziotti corrotti che servendosi di automobili della polizia permettevano a trafficanti di droga e smeraldi di consegnare merce e ritirare soldi. Il colpo riesce e l'organizzazione smantellata. Poi il ricettatore a Los Angeles dà loro un'altra indicazione per rapinare gli smeraldi di un texano. Ma tre uomini restano uccisi e sui quattro criminali si allunga l'ombra di un fantomatico boss, che li ricatta tramite il suo avvocato Kobayashi. Fenster, che vuole dileguarsi, viene trovato morto. I loro dossier sono nelle mani del misterioso Keyser Soze, che tramite l'avvocato ordina loro di uccidere l'equipaggio di una nave di trafficanti rivali argentini, eliminare il carico di droga e tenersi il denaro. ","1995","USA","Thriller","Gabriel Byrne, Kevin Spacey, Stephen Baldwin, Chazz Palminteri, Kevin Pollak, Pete Postlethwaite, Benicio Del Toro, Giancarlo Esposito, Ron Gilbert, Clark Gregg, Dan Hedaya, Suzy Amis, Paul Bartel, Frank Medrano, Carl Bressler"," 105 Min","John Ottman","8.27","67","8.6","879035",1947,435
"9","Mediaset","<img src=https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTUZIs8WTMhggNuY1K96ZxVqbB0u8X1ECv4ZIm96DR24VPP3l-XnfvO1IE align=left >","<img src=https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTKbQKghNVdsEjvLlr2aAcNbqNTR6sKkn8S2HPXUmkN7gnrXqJ2e-ucww align=left >","Prima dell'alba "," Una coppia di litigiosi vicini di scompartimento inducono Celine, francese, 23 anni, di ritorno a Parigi da Budapest, a cambiare posto sul treno. Fa conoscenza così con il venticinquenne Jesse, statunitense, che a Vienna deve prendere un aereo per rientrare dalle ferie. Celine accetta di passare la notte a vagabondare per Vienna col giovane, e tra i due nasce una progressiva confidenza, cui subentra un notevole interesse. La loro lunga conversazione tocca svariati argomenti, dalle prime esperienze sentimentali alla paura della morte, dall'odio impotente per le guerre che si verificano in varie parti del mondo alla reincarnazione.","1995","USA","Commedia","Ethan Hawke, Julie Delpy, Andrea Eckert, Haymon Maria Buttinger, Karl Bruckschewaiger, Dominik Castell, Bilge Jeschim, Erni Mangold, Hanno Poschl, Tex Rubinowitz, Harold Waiglein"," 101 Min","NA","7.17","9","8.1","230107",1976,8
"10","Medusa Film","<img src=https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSdPzotx0TWvos6K2MPTpO9kDH7vnjE5TaUQI38xMkjBAGnymd0weNk8IA align=left >","<img src=https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSIPwhB8QKIE279-9C7j3-3KkdOD9xEUiJR4xrHsgJ7OTXLGOJTd4rj5Oc align=left >","Il Signore degli Anelli - Il ritorno del re "," Le forze di Sauron hanno attaccato la capitale di Gondor, Minas Tirith, nel suo assedio finale contro l'umanità. Tenuto da un debole sovrintendente, quello che una volta era un fastoso regno non ha mai avuto così bisogno del proprio re. Mentre Gandalf tenta disperatamente di spingere lo smembrato esercito di Gondor ad agire, Thèoden si unisce ai guerrieri di Rohan per combattere assieme a loro. Pieno di coraggio e di appassionata lealtà, l'esercito degli umani non riesce però a tener testa alle numerosissime legioni nemiche che giungono su tutto il regno. Ogni vittoria è accompagnata da un grande sacrificio. Malgrado le numerose perdite, la Compagnia si lancia verso la più grande battaglia mai affrontata, unita dall'unico scopo di riuscire a tenere Sauron distratto e dare a Frodo una occasione per portare a termine la sua spedizione...","2003","USA","Avventura","Elijah Wood, Billy Boyd, Dominic Monaghan, Sean Astin, Ian McKellen, Viggo Mortensen, Orlando Bloom, Liv Tyler, John Rhys-Davies, John Noble, Karl Urban, David Wenham, Christopher Lee, Hugo Weaving, Andy Serkis, Miranda Otto, Cate Blanchett, Brad Dourif, Bernard Hill, Ian Holm"," 201 Min","Howard Shore","8.8","234","8.9","1442080",1932,1464
